,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1792,Kengeri Hobli,5000,5000,13000,13000,-,-,12.9018,77.4537
1793,KHBS Layout,15000,15000,"9,000 - 22,000",13750,-,-,12.999,77.5369
1794,Kodipur,-,-,15000,15000,"25,000 - 33,000",29000,12.9091,77.5318
1795,Kogilu Road Near Yelahanka,-,-,23500,23500,20000,20000,0.0,0.0
1796,koramangla 1st block,"13,000 - 14,500",13750,35000,35000,1.7 L,175000,12.9265,77.6362
1797,Lavelle Road,-,-,"55,000 - 86,000",70500,65000,65000,0.0,0.0
1798,LHR Layout,10000,10000,-,-,-,-,12.852,77.674
1799,Malathalli Road,14000,14000,24000,24000,-,-,0.0,0.0
1800,Mallasandra,-,-,12000,12000,-,-,13.0607,77.5118
1801,Mangammanapalya,9000,9000,-,-,-,-,12.9027,77.635
1802,Munnireddy Layout,15000,15000,22000,22000,40000,40000,12.9419,77.7016
1803,NR Colony,10000,10000,"12,000 - 14,000",13000,-,-,12.937,77.5684
1804,Postal Colony,70000,70000,19000,19000,-,-,13.036,77.5781
1805,Raghavendra Colony,12500,12500,24900,24900,-,-,12.9551,77.5641
1806,RT Nagar HMT Layout,10000,10000,"18,000 - 20,000",19000,-,-,13.0285,77.5923
1807,Sarvobhogam Nagar,18000,18000,"17,500 - 27,500",22500,-,-,12.889,77.5985
1808,Shantiniketan Layout,14000,14000,16000,16000,-,-,12.8822,77.6042
1809,Sultan Palaya,10000,10000,-,-,-,-,13.0263,77.6029
1810,Thanisandra Road,-,-,17500,17500,-,-,0.0,0.0
1811,Vakil Whispering Woods,-,-,"10,000 - 11,500",10750,-,-,0.0,0.0
1812,Veerasagara,-,-,15000,15000,-,-,13.1044,77.5458
1813,Vidya Vikas School Road,"17,500 - 18,500",18000,-,-,-,-,0.0,0.0
1814,West Of Chord Road 1st Stage,17000,17000,25000,25000,-,-,12.9912,77.5362
1815,5th Sector HSR Layout,12500,12500,25000,25000,-,-,12.9207,77.6298
1816,8th Block Koramangala,-,-,24000,24000,70000,70000,12.9415,77.6178
1817,A K Gopalan Colony,-,-,-,-,30000,30000,12.9818,77.7606
1818,Agrahara,-,-,12000,12000,-,-,13.0766,77.6158
1819,Akshaya Gardens,-,-,15000,15000,35000,35000,0.0,0.0
1820,Amruthnagar,9500,9500,11500,11500,"16,000 - 19,000",17500,13.0585,77.597
1821,Banswadi,10000,10000,-,-,35000,35000,13.0104,77.6482
1822,Bhyraveshwara Nagar,-,-,9000,9000,-,-,12.9629,77.5197
1823,Byrasandra,16000,16000,16000,16000,28000,28000,12.9805,77.6673
1824,CHBS Layout,5900,5900,16000,16000,-,-,12.9736,77.5369
1825,Cheemasandra,-,-,15000,15000,-,-,13.046,77.7217
1826,Coffee Board Layout,7500,7500,15000,15000,"20,000 - 29,000",24500,13.0505,77.6071
1827,Coles Road,-,-,30000,30000,"45,000 - 65,000",51666.67,0.0,0.0
1828,Gandhi Nagar,-,-,30000,30000,-,-,12.9792,77.577
1829,hal 3rd stage,14500,14500,23000,23000,-,-,12.9683,77.6503
1830,Hongasandra Road,"8,250 - 8,500",8375,16000,16000,-,-,0.0,0.0
1831,Hulimangala,4000,4000,-,-,-,-,12.8182,77.6379
1832,"Industrial Area,Stage 1",-,-,"29,000 - 32,000",30600,-,-,13.037,77.5326
1833,Jaibharath Nagar Bangalore,-,-,19000,19000,-,-,0.0,0.0
1834,Jayanagara 2nd Block,-,-,40000,40000,-,-,12.9398,77.5834
1835,Jnanabharathi BDA Layout Bangalore,-,-,-,-,21000,21000,12.947,77.4888
1836,Kacharakanahalli,18000,18000,-,-,-,-,13.0156,77.6321
1837,Kodipalya,-,-,11000,11000,15000,15000,12.8985,77.4907
1838,Koramangala 3 Block,19000,19000,35000,35000,-,-,12.9278,77.6264
1839,M V Extenstion,-,-,16000,16000,21000,21000,13.0709,77.7911
1840,Magnolia Enclave Road,"8,000 - 10,000",9000,18000,18000,25000,25000,0.0,0.0
1841,Mailasandra,-,-,25000,25000,-,-,12.9178,77.4943
1842,Mavalli,33000,33000,17000,17000,-,-,12.9498,77.5898
1843,Millers Road,"9,000 - 13,000",11000,16000,16000,"55,000 - 1.3 L",95000,0.0,0.0
1844,Mullur,10000,10000,-,-,-,-,12.9053,77.7245
1845,Nagapura,15000,15000,16000,16000,35000,35000,13.0021,77.5443
1846,Nallurhalli,-,-,"26,000 - 35,000",30500,"20,000 - 37,800",31266.67,12.9705,77.7329
1847,Nanja Reddy Colony,10000,10000,28000,28000,13000,13000,0.0,0.0
1848,Narayana Reddy Layout Bangalore,9000,9000,24000,24000,-,-,12.8503,77.6717
1849,Off Harlur Road,-,-,23500,23500,-,-,0.0,0.0
1850,Omkar Nagar,-,-,"12,000 - 30,000",22250,32000,32000,12.8817,77.5927
1851,P&T Colony,-,-,15000,15000,37000,37000,0.0,0.0
1852,Patel Hanumareddy Colony,"9,000 - 15,000",12000,20000,20000,-,-,12.832,77.6683
1853,Prestige Tranquility,-,-,-,-,25000,25000,13.064,77.7434
1854,raghuvanahalli,-,-,12000,12000,-,-,12.8779,77.5426
1855,Raysandara,"8,500 - 12,000",10250,8000,8000,-,-,12.8623,77.6752
1856,Rustam bagh Layout,-,-,-,-,"8,000 - 41,000",26333.33,12.9546,77.649
1857,Sathnur Village,7500,7500,-,-,-,-,13.1283,77.6319
1858,singapura,15000,15000,18000,18000,-,-,13.0747,77.5377
1859,Sinthan Nagar,22000,22000,27000,27000,18000,18000,13.0505,77.6304
1860,Sivanchetti Gardens,"17,000 - 18,000",17500,18000,18000,-,-,12.9809,77.6155
1861,Sorahunase,7800,7800,-,-,-,-,12.9474,77.7544
1862,South Avenue,-,-,"10,000 - 18,000",14000,-,-,12.8579,77.5834
1863,Srirampura,13000,13000,15999,15999,-,-,12.9948,77.5664
1864,T C Palya Main Road,-,-,18000,18000,-,-,0.0,0.0
1865,Thavarekere Road,13500,13500,-,-,-,-,0.0,0.0
1866,thirumenahalli,-,-,-,-,19000,19000,13.0904,77.6278
1867,Thubarahalli,18000,18000,19000,19000,-,-,12.952,77.7209
1868,Tunganagara,15000,15000,30000,30000,-,-,12.988,77.4853
1869,Ullal Uppanagar,7000,7000,12000,12000,-,-,12.96,77.476
1870,Venkateswara Layout,13000,13000,20000,20000,-,-,12.8842,77.6499
1871,Venugopal Reddy Layout,15000,15000,19000,19000,-,-,12.8862,77.5999
1872,Vidya Nagar Cross Road,-,-,13000,13000,-,-,0.0,0.0
1873,Vishwapriya Nagar,-,-,11500,11500,23000,23000,12.8812,77.6278
1874,Vyalikaval,-,-,25000,25000,-,-,13.004,77.5756
1875,Yadavanahalli,-,-,10000,10000,-,-,12.7897,77.7524
1876,Jeevan Bima Nagar,-,-,25000,25000,-,-,12.9642,77.6581
1877,Bennigana Halli,"11,500 - 23,000",17250,-,-,23000,23000,12.9967,77.654
1878,JP Nagar Phase 3,-,-,30000,30000,-,-,12.9122,77.5923
1879,Ashwini Layout,-,-,"24,000 - 26,000",25333.33,-,-,12.9402,77.6289
1880,Bande Nalla Sandra,-,-,12000,12000,"18,000 - 20,000",19000,12.7906,77.6522
1881,Basaveshwara Nagar Yelahanka,15000,15000,-,-,-,-,13.09,77.6056
1882,Bedarahalli,-,-,-,-,16000,16000,12.9812,77.4851
1883,Bhoganhalli,-,-,-,-,45000,45000,12.9257,77.7003
1884,Bhoopasandra,16000,16000,17000,17000,30000,30000,13.0436,77.5813
1885,BTM 2nd Stage Mico Layout,"10,500 - 15,500",13000,14500,14500,-,-,12.9128,77.6043
1886,Byadarahalli,12000,12000,-,-,-,-,12.9902,77.4794
1887,Bychapura,20000,20000,18000,18000,15000,15000,0.0,0.0
1888,Crimson Layout,7000,7000,-,-,24000,24000,12.9849,77.7658
1889,Devinagar Main Road,6500,6500,-,-,18000,18000,0.0,0.0
1890,Doddakannalli,12000,12000,23000,23000,-,-,12.9063,77.6985
1891,Domlur I Stage,"19,000 - 22,000",20500,"37,000 - 40,000",38500,-,-,12.9594,77.6379
1892,Electronic City Phase I,"5,500 - 10,000",7750,-,-,-,-,12.8431,77.6565
1893,Essel Gardens,7000,7000,-,-,-,-,13.0545,77.6668
1894,Gandhi Bazar,-,-,"15,000 - 24,000",18666.67,-,-,12.9456,77.5713
1895,Garden Villas,-,-,9000,9000,-,-,12.9629,77.5197
1896,GM Palaya,-,-,18500,18500,-,-,12.9751,77.6659
1897,Gollahalli Electronic City Road,-,-,27000,27000,"25,000 - 29,000",27000,0.0,0.0
1898,Gunjur Palaya,-,-,18000,18000,-,-,12.9218,77.7186
1899,Hadosiddapura,"7,700 - 12,000",10533.33,-,-,-,-,12.8977,77.7066
1900,Hagadur,"11,500 - 13,900",1366.67,15000,15000,-,-,12.9661,77.757
1901,Hanumatha Nagar,6500,6500,"15,000 - 20,000",17500,-,-,12.9425,77.5626
1902,HBR Layout 2nd Block,-,-,2 L,200000,-,-,13.0232,77.6286
1903,Hennur Rd,-,-,27000,27000,-,-,13.0377,77.6288
1904,HMT Housing Colony,8500,8500,13000,13000,-,-,13.0347,77.5003
1905,HMT Layout,-,-,19000,19000,"23,000 - 25,000",24000,13.0311,77.5569
1906,Hoodi ITPL Road Mahadevapura,"10,000 - 13,500",12333.33,-,-,-,-,12.9958,77.7273
1907,Hosakerehalli Main Road,-,-,9000,9000,-,-,0.0,0.0
1908,Infantry Road,-,-,"40,000 - 42,000",41333.33,-,-,0.0,0.0
1909,Jogupalya,21500,21500,16500,16500,-,-,12.9694,77.6229
1910,Kempapura Agrahara,-,-,"12,500 - 30,000",21250,-,-,12.9701,77.5526
1911,Kempegowda Nagar,22500,22500,-,-,-,-,12.9473,77.5634
1912,Kithaganur Main Road,-,-,16000,16000,-,-,0.0,0.0
1913,Kodigehalli near Hoodi circle ITPL,-,-,14000,14000,-,-,0.0,0.0
1914,Lakkasandra,"7,500 - 11,500",9500,-,-,-,-,12.9435,77.6006
1915,Langford Road,-,-,"37,000 - 42,000",39500,-,-,12.957,77.6028
1916,Mariyannapalya Kaveri Layout,10300,10300,"20,000 - 22,000",21000,-,-,0.0,0.0
1917,Meenakshi Layout,13000,13000,"13,000 - 25,000",19000,-,-,12.8841,77.6744
1918,Mitganahalli,9000,9000,9000,9000,-,-,13.109,77.6622
1919,Muthyala Nagar,-,-,"13,000 - 20,000",16500,-,-,13.0406,77.5498
1920,Naganathapura,7500,7500,-,-,25000,25000,12.8709,77.6629
1921,Nagenahalli,6500,6500,-,-,-,-,13.1309,77.5741
1922,Nagendra Block Bangalore,8500,8500,"14,000 - 18,000",16000,-,-,0.0,0.0
1923,Neeladri Nagar,-,-,16000,16000,-,-,12.8391,77.6472
1924,Neeladri Nagar Electronics City Phase 1,-,-,"18,000 - 18,500",18250,-,-,12.8391,77.6472
1925,Neo Town Electronics City Pha,-,-,"22,000 - 25,000",23000,32900,32900,0.0,0.0
1926,Off Cunningham Road,-,-,43000,43000,-,-,0.0,0.0
1927,Oil Mill Road,-,-,"15,000 - 15,500",15166.67,-,-,0.0,0.0
1928,Palace Guttahalli,6000,6000,-,-,-,-,12.9974,77.578
1929,Rajashree Layout,"10,500 - 12,000",11250,17000,17000,23363,23363,12.9521,77.708
1930,Ramanshree Nagar,18500,18500,-,-,21000,21000,12.8635,77.597
1931,Rukmaiah Layout,12000,12000,16000,16000,33000,33000,12.8784,77.6128
1932,Sanjeevini Nagar,-,-,"18,000 - 65,000",41500,-,-,13.055,77.5888
1933,Saptagiri Layout,7000,7000,-,-,17000,17000,12.9177,77.5347
1934,Shivanagar,8000,8000,-,-,-,-,12.9918,77.5487
1935,"Subramanyanagar,2 State",12000,12000,-,-,-,-,13.0064,77.5576
1936,Suddaguntepalya,"8,500 - 12,800",10575,-,-,-,-,12.9309,77.6097
1937,Telecom Layout,-,-,35000,35000,-,-,13.0693,77.6171
1938,Thippasandra,-,-,"23,000 - 25,000",24000,-,-,12.9718,77.6552
1939,Vajarahalli,15000,15000,-,-,-,-,12.8724,77.5339
1940,Vasanthpura,-,-,22000,22000,-,-,12.8982,77.5541
1941,Vijaya Nagara Extension off Magadi Road,-,-,11500,11500,-,-,0.0,0.0
1942,Virat Nagar,"8,000 - 8,400",8200,16500,16500,-,-,12.9041,77.62
1943,Viru Paksheswar Nagar,-,-,-,-,45000,45000,0.0,0.0
1944,Vivek Nagar,11000,11000,14500,14500,-,-,12.9545,77.6191
1945,Voderahalli,5300,5300,-,-,-,-,13.0959,77.5376
1946,Sudhama Nagar,12500,12500,16000,16000,-,-,12.9592,77.5868
1947,Near Peenya Industrial Area,6500,6500,-,-,32000,32000,0.0,0.0
1948,Immadihalli,10000,10000,15000,15000,-,-,12.965,77.7595
1949,14th Main,-,-,16500,16500,-,-,0.0,0.0
1950,1st Phase JP Nagar,-,-,22000,22000,-,-,12.9118,77.5795
1951,Aga Abbas Ali Road,-,-,-,-,"55,000 - 80,000",67500,0.0,0.0
1952,Akshayanagara West,-,-,"10,999 - 11,000",10999.5,-,-,12.8736,77.6149
1953,Amarajyothi Nagar,10000,10000,15000,15000,-,-,12.9745,77.5268
1954,Ambedkar Veedhi,8000,8000,80000,80000,-,-,12.9753,77.5877
1955,Ashraya Layout Bangalore,13000,13000,-,-,-,-,12.9845,77.7059
1956,Banashankari 3rd Stage Banashankari,11000,11000,"13,500 - 14,500",14000,-,-,12.9345,77.5435
1957,Bangalore University Road,-,-,9500,9500,-,-,0.0,0.0
1958,Begur Road,10000,10000,18500,18500,-,-,0.0,0.0
1959,Brunton Road,-,-,35000,35000,"75,000 - 1.2 L",97500,0.0,0.0
1960,Byrathi in Hennur Road,10000,10000,15000,15000,-,-,0.0,0.0
1961,C S B Layout,-,-,15500,15500,-,-,12.9086,77.6754
1962,Chikkathoguru Village,7000,7000,-,-,"15,000 - 17,000",16000,12.8583,77.6493
1963,Chinnapanahalli,"9,500 - 14,500",12000,-,-,26000,26000,12.967,77.7048
1964,Ckikkakammana Halli,14000,14000,-,-,-,-,12.8496,77.6
1965,Dodda Bommasandra,-,-,17000,17000,-,-,13.0605,77.562
1966,Dodda kallasandra Narayana Nagar Road,-,-,9500,9500,-,-,0.0,0.0
1967,Doddathoguru,18000,18000,"15,000 - 20,000",17500,-,-,12.8479,77.6528
1968,Domlur II Stage,20700,20700,"26,000 - 42,000",34000,-,-,12.9629,77.6386
1969,Domlur Village,20000,20000,32500,32500,-,-,12.961,77.6387
1970,Forum Mall Parking,16500,16500,-,-,-,-,0.0,0.0
1971,Garvebhavi Palya,10000,10000,-,-,-,-,12.8944,77.6368
1972,Gottigere Road,-,-,-,-,28000,28000,0.0,0.0
1973,HAL OLD AIRPORT RD,14000,14000,20000,20000,-,-,0.0,0.0
1974,Hebbal Dasarahalli Main Road,-,-,12000,12000,-,-,0.0,0.0
1975,Herohalli,-,-,18000,18000,-,-,12.9897,77.4896
1976,Hoodi Main Road,-,-,19500,19500,22000,22000,0.0,0.0
1977,Hoodi Village,12800,12800,-,-,-,-,12.99,77.7133
1978,Hullahalli,-,-,7000,7000,-,-,12.8242,77.6164
1979,Ittina Akkala Road,-,-,-,-,"26,000 - 60,000",37416.67,0.0,0.0
1980,Jai Bheema Nagar,6000,6000,-,-,-,-,0.0,0.0
1981,Jambusawari Dinne,8400,8400,10000,10000,-,-,12.8631,77.5784
1982,Jayachamarajendra Nagar,-,-,"15,000 - 17,000",16000,-,-,12.9868,77.5469
1983,Kadubeesanahalli,-,-,"22,000 - 30,000",26000,-,-,12.9394,77.6952
1984,Kathriguppe Main Road,-,-,18000,18000,-,-,12.9255,77.5468
1985,Kodichikkanahalli Seenappa Layout,-,-,20000,20000,-,-,12.8966,77.6171
1986,Konena Agrahara,-,-,23600,23600,-,-,12.9577,77.6608
1987,Koppa Begur Road,-,-,12000,12000,-,-,0.0,0.0
1988,Koramangala 6th Block,20000,20000,22000,22000,-,-,12.9382,77.6228
1989,Koti Hosahalli,7000,7000,15000,15000,-,-,13.0526,77.5777
1990,Kr Puram Seegehalli,"8,200 - 8,500",8350,-,-,-,-,13.0121,77.7652
1991,Kurubarakunte,-,-,15000,15000,-,-,0.0,0.0
1992,Lakshmi Layout,-,-,-,-,20000,20000,12.8901,77.5913
1993,Langford Town,35000,35000,-,-,-,-,12.957,77.6028
1994,Lower Palace Orchards,-,-,"28,000 - 30,000",29333.33,-,-,13.0043,77.5802
1995,Malagala,-,-,15000,15000,-,-,12.9754,77.5168
1996,Maruthi Sevanagar,15000,15000,-,-,-,-,13.0019,77.6322
1997,MEI Employees Housing Colony,"14,000 - 16,000",15000,16000,16000,-,-,0.0,0.0
1998,MLA Layout Main Road,13700,13700,-,-,"13,500 - 16,000",14750,0.0,0.0
1999,Mukambika Nagar,6000,6000,15000,15000,-,-,12.9262,77.5347
2000,Nagadevanahalli,-,-,15000,15000,-,-,12.9422,77.4906
2001,Nayatappa Layout,"12,600 - 15,100",13900,-,-,-,-,12.8848,77.6013
2002,Nobel Residency Phase 2,-,-,-,-,20000,20000,0.0,0.0
2003,Pai Layout,-,-,-,-,"35,000 - 65,000",50000,12.9943,77.6668
2004,Rachenahalli Main Road,12000,12000,18000,18000,23000,23000,0.0,0.0
2005,Raja Layout,10000,10000,17000,17000,21000,21000,12.9339,77.489
2006,Ramaswamipalya,19000,19000,-,-,22000,22000,13.0087,77.6341
2007,Royal Residence Layout,-,-,18000,18000,-,-,12.8826,77.6128
2008,S.Bingipura,-,-,9500,9500,-,-,12.8248,77.6278
2009,Sanchar Nagar MCECHS Layout,10000,10000,13400,13400,-,-,0.0,0.0
2010,Sarakki,8500,8500,-,-,-,-,12.8994,77.5799
2011,Sector 5 HSR Layout,10500,10500,-,-,-,-,12.9173,77.6368
2012,Shankarapuram,-,-,18000,18000,-,-,12.9521,77.5707
2013,Shree Ananth Nagar Layout,-,-,"15,120 - 20,000",16873.33,-,-,12.8343,77.6958
2014,Silicon Town,15000,15000,12000,12000,-,-,12.8569,77.6808
2015,Sri Enclave Layout,13000,13000,"15,000 - 20,000",17500,-,-,12.8782,77.6145
2016,Sri Krishna Layout,-,-,20000,20000,28000,28000,12.8253,77.6567
2017,Sri Venkateswara Layout,"8,000 - 15,000",10333.33,-,-,-,-,12.9849,77.6874
2018,Sunkalpalya,-,-,-,-,"14,000 - 22,000",18000,12.9045,77.4946
2019,Thyagraj Nagar,-,-,25000,25000,35000,35000,12.9312,77.5671
2020,Udayagiri,-,-,-,-,22500,22500,0.0,0.0
2021,Ullal Road,-,-,12000,12000,-,-,0.0,0.0
2022,Valliyamma Layout,9500,9500,-,-,-,-,12.9109,77.6729
2023,Venkateshappa Layout,-,-,20000,20000,30000,30000,13.013,77.6374
2024,Venkateshpuram,-,-,9000,9000,-,-,13.0143,77.62
2025,Vibgyor High School Road,13500,13500,25000,25000,-,-,0.0,0.0
2026,Vidyamanya Nagar,-,-,10000,10000,-,-,13.006,77.4917
2027,Vidyanagar,-,-,-,-,5000,5000,12.824,77.6858
2028,Vimanapura,-,-,"9,000 - 12,000",10500,-,-,12.9655,77.6695
2029,Vishveshwarya Layout,-,-,11000,11000,-,-,12.964,77.4973
2030,Vittal Mallya Road,-,-,75000,75000,"62,000 - 65,000",63500,0.0,0.0
2031,Basaveswarnagar,-,-,14500,14500,-,-,12.988,77.5375
2032,10 1 4th Cross Rd B T M La,"6,800 - 10,500",8650,-,-,-,-,0.0,0.0
2033,10th Cross Muninanjappa Layout,6000,6000,12000,12000,-,-,0.0,0.0
2034,1st C Main Road,12000,12000,-,-,-,-,0.0,0.0
2035,22 ITI Layout Sector 7 HSR,16000,16000,22000,22000,-,-,0.0,0.0
2036,48 6 Kudlu Main Road Kudlu,"6,000 - 9,000",7500,-,-,-,-,0.0,0.0
2037,"7th Cross Road, HSR Layout",13000,13000,-,-,-,-,0.0,0.0
2038,80 Feet Road,-,-,13000,13000,-,-,0.0,0.0
2039,9th Block Jayanagara,15000,15000,-,-,28000,28000,12.9205,77.592
2040,Abbaiah Reddy Layout Road,-,-,"26,000 - 28,000",27000,-,-,0.0,0.0
2041,AECS Layout 1st Stage,10000,10000,-,-,25000,25000,13.033,77.5787
2042,AECS Layout Sri Nivasa Reddy Layout,13800,13800,-,-,-,-,0.0,0.0
2043,Agara,13000,13000,-,-,-,-,12.9231,77.6465
2044,Anandapura Circle,-,-,12000,12000,-,-,0.0,0.0
2045,Anandnagar,-,-,-,-,60000,60000,13.0313,77.5913
2046,Anjanapura 80 Feet Road,-,-,-,-,17500,17500,0.0,0.0
2047,ANNASANDRAPALYA HAL,-,-,13000,13000,-,-,12.9648,77.6744
2048,Ashirvad Colony,11000,11000,-,-,-,-,13.0274,77.6588
2049,Austin Town,-,-,33000,33000,-,-,12.9588,77.616
2050,Banashankari Temple Ward,6000,6000,10000,10000,-,-,12.9125,77.5714
2051,Basavanagar,-,-,-,-,"16,000 - 17,500",16750,12.9671,77.6808
2052,Basavanagara,-,-,-,-,35000,35000,12.9671,77.6808
2053,BEL Circle,-,-,28000,28000,-,-,13.044,77.5571
2054,Best County 2,-,-,"10,000 - 14,400",12200,-,-,13.0923,77.5444
2055,Bethel Nagar Road,5000,5000,17000,17000,-,-,0.0,0.0
2056,Bettadasapura,6500,6500,16000,16000,-,-,12.8416,77.6327
2057,Bharath Nagar,-,-,-,-,"35,000 - 40,000",37500,12.9783,77.4778
2058,Bharathi Layout,14500,14500,-,-,-,-,12.9281,77.6072
2059,Bhuvaneshwari Nagar,-,-,20000,20000,-,-,13.0545,77.6036
2060,Block A Sahakar Nagar,-,-,23000,23000,-,-,13.0628,77.5781
2061,Bluejay Ardley,15000,15000,-,-,-,-,0.0,0.0
2062,Brigade Gateway Resident Lane,-,-,-,-,54000,54000,0.0,0.0
2063,BTM 4th stage,-,-,-,-,36000,36000,0.0,0.0
2064,Cambridge Layout,-,-,40000,40000,-,-,12.9726,77.6253
2065,Cambridge Road,-,-,36000,36000,55000,55000,12.9726,77.6253
2066,Cashier Layout,"9,200 - 13,000",11100,-,-,-,-,12.9247,77.6102
2067,CBI Road,4000,4000,23000,23000,-,-,0.0,0.0
2068,Chamundi Nagar,2000,2000,-,-,-,-,13.0317,77.5999
2069,Chickpete,12000,12000,-,-,-,-,12.9709,77.5763
2070,Chikka Banahalli Rd K R Puram,-,-,-,-,"30,000 - 39,000",34500,0.0,0.0
2071,chinnappa garden Benson town,-,-,20000,20000,-,-,0.0,0.0
2072,Coconut Grove Layout,14000,14000,-,-,24000,24000,13.0274,77.6558
2073,Cooke Town,14000,14000,-,-,45000,45000,13.0032,77.6228
2074,Dasappa Layout,-,-,16000,16000,-,-,13.0136,77.6712
2075,Defence Colony,-,-,-,-,2.5 L,250000,12.9766,77.6436
2076,Dhanalakshmi Layout,10000,10000,35000,35000,-,-,13.0658,77.5727
2077,Doddajala,-,-,12500,12500,-,-,13.1821,77.6529
2078,Doddakallasandra,6800,6800,-,-,-,-,12.8807,77.5576
2079,Dodsworth Layout,-,-,-,-,"35,000 - 47,400",41200,12.9729,77.7438
2080,Dollar Scheme Colony,"9,800 - 10,700",10250,-,-,-,-,12.9182,77.6185
2081,Domlur Flyover,20500,20500,38000,38000,-,-,0.0,0.0
2082,Dwarka Nagar,-,-,16000,16000,-,-,13.1225,77.6207
2083,Electronic City Doddathoguru,10250,10250,14500,14500,-,-,12.8479,77.6528
2084,Electronic City Neeladri Nagar,-,-,13500,13500,20000,20000,12.8391,77.6472
2085,Embassy Golf Links Business Park,-,-,-,-,75000,75000,12.9513,77.6465
2086,Esther Enclave Layout,11000,11000,-,-,18000,18000,13.0269,77.6683
2087,Ganapathipura,-,-,14200,14200,16000,16000,12.8911,77.5691
2088,Ganapathy Nagar,14000,14000,14000,14000,-,-,13.0211,77.5118
2089,Gandhipuram,9000,9000,-,-,28000,28000,12.9714,77.7559
2090,Gangondanahalli,-,-,9000,9000,-,-,13.0204,77.4673
2091,Gavipuram,8500,8500,8500,8500,-,-,0.0,0.0
2092,Gowda Muniswamy Garden,-,-,"19,000 - 24,000",21500,-,-,12.9468,77.6257
2093,Hanumaiah Layout,17000,17000,-,-,-,-,13.1023,77.5602
2094,Hennur Gardens,10000,10000,-,-,33000,33000,13.0359,77.6431
2095,High Grounds,30000,30000,-,-,-,-,12.9872,77.5842
2096,hongasandra bangalore,"9,000 - 10,000",9500,-,-,-,-,12.8946,77.6258
2097,Hosakerehalli Cross,-,-,20000,20000,22000,22000,0.0,0.0
2098,Hosakerehalli Layout,6500,6500,-,-,-,-,12.9343,77.5426
2099,Indra Nagar,-,-,34000,34000,-,-,12.9784,77.6408
2100,Industrial Area,-,-,30000,30000,35000,35000,12.9911,77.7094
2101,ITI Layout Main Road,-,-,12500,12500,-,-,0.0,0.0
2102,J C Nagar,-,-,16000,16000,-,-,13.0082,77.5949
2103,Jakkasandra,10000,10000,-,-,-,-,12.9234,77.6386
2104,Jakkuru Layout,-,-,16500,16500,-,-,13.0711,77.5999
2105,Jakkuru Main Road,-,-,16000,16000,-,-,0.0,0.0
2106,Javarandoddi,-,-,12400,12400,-,-,12.9311,77.5204
2107,JAYANAGAR 2ND BLOCK,-,-,"14,000 - 17,000",15500,-,-,12.9398,77.5834
2108,Jayanagar LIC Colony,-,-,20000,20000,-,-,0.0,0.0
2109,Jedara Halli,-,-,25000,25000,-,-,12.9816,77.5501
2110,Jeremiah Road,-,-,25000,25000,-,-,0.0,0.0
2111,John Nagar,15200,15200,40000,40000,-,-,12.931,77.62
2112,JP Nagar Dollars Colony,-,-,-,-,40000,40000,12.9043,77.5985
2113,Judiciary Layout,-,-,16000,16000,-,-,13.0778,77.587
2114,Kachamaranahalli,-,-,21000,21000,-,-,12.9122,77.7334
2115,Kadugodi Plantation,5000,5000,-,-,-,-,12.9931,77.7516
2116,Kalidasa Layout,10000,10000,14000,14000,-,-,12.9485,77.5516
2117,Kanaka Nagar Main Road,-,-,16000,16000,-,-,0.0,0.0
2118,Kanmanike,-,-,12000,12000,-,-,12.8641,77.4336
2119,Karle Zenith Residency Road,9000,9000,-,-,-,-,0.0,0.0
2120,Kartik Layout Doddanekundi Road,-,-,18000,18000,23000,23000,0.0,0.0
2121,Karuna Nagar,-,-,-,-,"23,000 - 26,000",24500,12.8435,77.65
2122,KEB Layout,8000,8000,21000,21000,-,-,13.0308,77.5799
2123,Kumara Park East,-,-,-,-,55000,55000,12.9913,77.5813
2124,Kumbena Agrahara,-,-,-,-,21500,21500,13.0013,77.7466
2125,Kundalahalli Main,15000,15000,35000,35000,-,-,0.0,0.0
2126,Kundalahalli Main Road,"8,000 - 12,500",10250,-,-,-,-,0.0,0.0
2127,Kvalasanahalli,-,-,14000,14000,-,-,13.0601,77.658
2128,Lakshmi Narasimha Swamy Layout,-,-,18000,18000,25000,25000,0.0,0.0
2129,Langford Gardens,22000,22000,-,-,-,-,12.9638,77.5985
2130,M S R Main Road,9000,9000,12300,12300,-,-,0.0,0.0
2131,Madagondanahalli,-,-,18800,18800,20000,20000,12.8248,77.6579
2132,Makali Aluru Main Road,4000,4000,-,-,-,-,0.0,0.0
2133,Manganahalli Road,5500,5500,10000,10000,-,-,0.0,0.0
2134,Manjunath Layout,-,-,24000,24000,-,-,12.8909,77.591
2135,Manjunatha Layout Munnekollal,-,-,"16,900 - 17,000",16950,-,-,12.9491,77.713
2136,Manorayanapalya,6000,6000,-,-,-,-,13.0302,77.6041
2137,Marathahalli Main Road,12500,12500,-,-,-,-,0.0,0.0
2138,Markandhaiha Nagar,-,-,23000,23000,-,-,13.0995,77.6309
2139,Maruthi Extension,-,-,15000,15000,-,-,12.9982,77.5622
2140,Maruthi Nagar Madivala,-,-,15000,15000,-,-,12.925,77.6128
2141,Munneshwara Layout,-,-,23200,23200,32200,32200,13.0374,77.7323
