,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1321,White Field,"13,000 - 17,000",14750,"17,000 - 19,000",18000,"40,000 - 42,000",41000,12.9698,77.75
1322,Malleswaram,"6,000 - 16,000",10333.33,"10,000 - 30,000",20000,30000,30000,13.0055,77.5692
1323,Subramanyapura,"6,000 - 9,500",8166.67,"9,000 - 16,000",12500,"15,000 - 28,000",23000,12.8965,77.5407
1324,Hennur Main Road,"10,000 - 25,000",15333.33,"13,000 - 22,000",18000,"25,000 - 55,000",40000,0.0,0.0
1325,Kasavanahalli Off Sarjapur Road,16000,16000,"22,000 - 40,000",30772.73,"25,000 - 55,000",37400,0.0,0.0
1326,Basavanagudi,"4,500 - 20,000",13166.67,"15,000 - 20,000",17750,"35,000 - 36,000",35500,12.9406,77.5738
1327,Jalahalli,"4,000 - 10,000",6333.33,8500,8500,"16,000 - 32,000",25454.55,13.0528,77.5419
1328,Kannur on Thanisandra Main Road,15000,15000,"17,000 - 25,000",20771.43,"16,000 - 48,000",30761.9,0.0,0.0
1329,East Bangalore,12000,12000,18000,18000,"18,000 - 40,000",29000,13.0012,77.6183
1330,Attibele,7000,7000,"7,000 - 4 L",59475,10000,10000,12.782,77.7719
1331,ITPL,14500,14500,"20,900 - 30,000",26150,"21,000 - 65,000",4042.11,12.9859,77.7355
1332,Yeshwantpur,-,-,"12,000 - 34,000",27325,"24,000 - 60,000",39791.04,13.025,77.534
1333,Battarahalli,"5,000 - 14,000",8916.67,18000,18000,14000,14000,13.0245,77.7073
1334,Electronics City Phase 1,"5,500 - 10,000",7600,"11,000 - 13,500",12250,"16,000 - 35,000",25500,12.8431,77.6565
1335,Vidyaranyapura,"4,200 - 14,500",9522.22,"8,500 - 25,000",14227.27,"12,500 - 30,000",21625,13.0811,77.5562
1336,Hosa Road,8500,8500,8500,8500,"18,000 - 30,000",22360,12.8706,77.6558
1337,Hennur,"4,000 - 16,000",1083.33,"10,000 - 22,000",14950,41000,41000,13.0359,77.6431
1338,Doddanekundi,"13,500 - 20,000",15375,"16,000 - 17,000",16500,"12,600 - 36,000",28713.46,12.9721,77.6944
1339,Chamarajpet,"6,500 - 10,000",8833.33,"12,500 - 20,000",16500,"30,000 - 35,000",32500,12.957,77.5621
1340,Kogilu,7000,7000,13500,13500,"16,500 - 22,000",19250,13.1012,77.6125
1341,Kannamangala,-,-,10000,10000,"20,000 - 35,000",26500,13.0275,77.7606
1342,Jayanagar,"6,000 - 70,000",17625,"22,000 - 28,000",25000,"30,000 - 1.2 L",77500,12.9308,77.5802
1343,Bannerghatta,6500,6500,12000,12000,34000,34000,12.8052,77.5788
1344,Kurubarahalli on Magadi Road,9000,9000,-,-,-,-,0.0,0.0
1345,Medahalli,10000,10000,"8,500 - 11,000",9750,17000,17000,13.0317,77.7161
1346,Bilekahalli,"6,000 - 21,000",13750,"13,000 - 14,500",13750,"20,000 - 50,000",33689.19,12.8985,77.6058
1347,Hennur Road,"14,500 - 19,000",17250,"14,000 - 27,000",17375,"21,000 - 50,000",30500,13.0377,77.6288
1348,Tumkur Road,12000,12000,-,-,22000,22000,0.0,0.0
1349,BTM 2nd Stage,"9,000 - 17,000",12575.81,"18,000 - 22,500",20250,"33,000 - 35,000",34000,12.9083,77.6051
1350,TC Palya Main,-,-,"15,500 - 17,000",16250,-,-,0.0,0.0
1351,Frazer Town,"9,000 - 16,000",11333.33,"15,000 - 24,000",18750,"38,000 - 80,000",59000,12.997,77.6144
1352,Kanakapura Road Beyond Nice Ring Road,-,-,"10,000 - 11,000",10500,"18,000 - 20,000",19000,0.0,0.0
1353,BTM Layout,"6,000 - 19,000",11607.14,"12,000 - 23,000",16846.15,"19,000 - 50,000",38726.97,12.9166,77.6101
1354,Bagalur,-,-,6500,6500,-,-,13.1513,77.6688
1355,Kasturi Nagar,"10,500 - 17,500",13722.22,"12,000 - 44,000",21590.91,"32,000 - 45,000",38636.36,13.0061,77.6594
1356,Sanjay Nagar,"15,000 - 16,000",15250,18000,18000,"39,000 - 45,000",42000,13.0369,77.5785
1357,Murugesh Palya,"6,000 - 24,000",12222.22,"14,000 - 18,000",15269.23,"22,000 - 23,000",22500,12.9613,77.6561
1358,OMBR Layout,"15,000 - 22,000",17416.67,"20,000 - 27,000",23300,32000,32000,13.0076,77.6505
1359,Marsur,12000,12000,"8,500 - 14,000",10500,20000,20000,12.7662,77.7023
1360,HBR Layout,"9,500 - 16,000",12750,"12,000 - 25,800",18900,"35,000 - 40,000",37500,13.0377,77.6288
1361,Kammanahalli,"8,500 - 30,000",15000,"16,000 - 26,000",19666.67,"35,000 - 84,000",59500,13.0159,77.6379
1362,Hoodi,"12,000 - 13,000",12500,"19,500 - 22,000",20700,20000,20000,12.99,77.7133
1363,Ramagondanahalli,"8,500 - 11,000",9346.15,21000,21000,25000,25000,12.9558,77.7409
1364,Kanakapura,6500,6500,12000,12000,25000,25000,12.9428,77.5779
1365,Kaggadasapura,"10,000 - 18,000",13857.14,"15,000 - 16,000",15500,31500,31500,12.9836,77.6797
1366,Ejipura,"3,500 - 16,000",10666.67,"9,500 - 22,000",15625,"18,000 - 20,000",19000,12.9385,77.6308
1367,Panathur,6000,6000,15000,15000,30000,30000,12.9356,77.7057
1368,Channasandra,"7,500 - 10,500",9000,16000,16000,-,-,12.9795,77.7638
1369,Chikkajala,-,-,15000,15000,-,-,13.1699,77.6349
1370,Bannerghatta Main Road,"8,000 - 13,300",10464.77,"9,000 - 16,000",1416.67,-,-,0.0,0.0
1371,Nagarbhavi,"3,000 - 18,500",9625,"13,000 - 23,000",17100,"15,500 - 35,000",25250,12.9719,77.5127
1372,Hulimavu,"5,500 - 50,000",14571.43,"12,500 - 15,000",14125,26000,26000,12.8791,77.6098
1373,Kudlu,"7,000 - 20,000",10800,16500,16500,"26,000 - 32,500",30250,12.8867,77.6582
1374,Doddaballapur,-,-,"8,000 - 8,500",8333.33,"75,000 - 90,000",82500,13.2957,77.5364
1375,Kengeri,10000,10000,"8,500 - 10,000",9500,"32,000 - 45,000",38500,12.8997,77.4827
1376,TC Palya Road,10000,10000,-,-,-,-,0.0,0.0
1377,Brookefield,8000,8000,"20,000 - 24,000",22000,"11,500 - 42,000",30343.75,12.9655,77.7185
1378,Junnasandra,-,-,24000,24000,50000,50000,12.8991,77.6779
1379,Sahakar Nagar,20000,20000,24000,24000,"40,000 - 45,000",41666.67,13.0623,77.5871
1380,Konanakunte,"5,500 - 13,000",9166.67,"12,000 - 15,000",13000,27000,27000,12.8822,77.566
1381,Indira Nagar,"8,000 - 15,000",11250,"17,000 - 60,000",29333.33,55000,55000,12.9784,77.6408
1382,Thanisandra Main Road,"11,200 - 16,000",13600,"11,000 - 22,000",16200,"15,000 - 20,000",17666.67,0.0,0.0
1383,Benson Town,"4,000 - 11,000",7727.27,"12,000 - 35,000",18136.36,"30,000 - 1.2 L",70521.74,13.0047,77.5999
1384,Munnekollal,"9,000 - 11,000",1062.5,18000,18000,32000,32000,12.9499,77.7118
1385,Nallurhalli Whitefield,17999,17999,26000,26000,"35,000 - 40,000",37500,12.9705,77.7329
1386,Kumaraswamy Layout,"7,500 - 15,000",10833.33,"12,000 - 16,000",13333.33,36000,36000,12.9044,77.5649
1387,Gunjur,18000,18000,-,-,15000,15000,12.9213,77.7341
1388,HRBR Layout,"16,000 - 18,000",17000,"17,500 - 24,000",20500,"28,000 - 38,000",33000,13.0191,77.6465
1389,KR Puram Old Madras Road,-,-,"11,000 - 15,000",13000,-,-,0.0,0.0
1390,RT Nagar Main Road,"9,000 - 15,000",11333.33,15000,15000,"56,000 - 80,000",72000,0.0,0.0
1391,Gottigere,-,-,"15,000 - 30,000",22875,"15,000 - 45,000",32384.62,12.8564,77.5888
1392,RMV 2nd Stage,-,-,"23,000 - 85,000",44333.33,"52,000 - 55,000",54250,13.0422,77.57
1393,Kodigehalli,8000,8000,"13,000 - 15,000",14000,14000,14000,13.0695,77.5823
1394,Cooke Town,"12,000 - 16,000",14000,15000,15000,80000,80000,13.0032,77.6228
1395,Aavalahalli,-,-,-,-,"35,000 - 40,000",37500,13.0357,77.7354
1396,kengeri satellite town,"6,200 - 10,000",8025,"10,000 - 14,000",12400,"12,500 - 20,000",15166.67,12.9231,77.4847
1397,Kumbalgodu,18000,18000,"10,000 - 15,000",11750,65000,65000,12.8792,77.4459
1398,seegehalli,-,-,18500,18500,22000,22000,13.0169,77.718
1399,Sarjapur Road Till Wipro,16100,16100,"27,600 - 38,000",30942.86,"35,000 - 50,000",43000,0.0,0.0
1400,Abbigere,"10,000 - 12,000",11000,16000,16000,-,-,13.0763,77.5256
1401,South Bangalore,"6,000 - 10,000",7360,18000,18000,"25,000 - 42,000",33500,12.9716,77.5946
1402,JP Nagar Phase 4,-,-,"28,000 - 30,000",29333.33,"30,000 - 65,000",44958.33,12.9043,77.5985
1403,Banashankari Stage 2nd,12000,12000,12000,12000,35000,35000,0.0,0.0
1404,Nagawara,5500,5500,11000,11000,"27,000 - 2 L",84200,13.0422,77.6136
1405,bidrahalli,3000,3000,-,-,15000,15000,13.057,77.715
1406,Richmond Town,"16,000 - 35,000",25500,"15,000 - 61,000",41461.54,"42,000 - 3.3 L",102800,12.9634,77.6035
1407,Singasandra,"10,000 - 15,000",11875,12300,12300,"20,000 - 35,000",25000,12.8811,77.6494
1408,Kattanallur,"5,500 - 12,000",8000,30000,30000,-,-,13.0513,77.7639
1409,Kudlu Gate,"11,000 - 14,000",12500,15000,15000,20000,20000,12.891,77.64
1410,Mysore Road,"9,500 - 18,000",13750,"13,000 - 15,000",14000,12000,12000,12.9716,77.5946
1411,JP Nagar Phase 1,-,-,"30,000 - 32,000",30333.33,60000,60000,12.9118,77.5795
1412,Electronic City Phase II,"5,000 - 10,000",7000,"8,500 - 12,500",10333.33,"27,000 - 31,000",29333.33,12.8441,77.6794
1413,RR Nagar,-,-,17000,17000,-,-,12.9149,77.5206
1414,sarjapura attibele road,-,-,8000,8000,-,-,0.0,0.0
1415,JP Nagar Phase 7,9000,9000,12000,12000,22000,22000,12.8873,77.5781
1416,Chikkalasandra,13000,13000,15000,15000,17000,17000,12.9121,77.5462
1417,KR Puram Bhattarahalli,7500,7500,-,-,-,-,13.0175,77.7108
1418,Chikkagubbi on Hennur Main Road,-,-,-,-,26000,26000,0.0,0.0
1419,Whitefield Road,-,-,-,-,31000,31000,0.0,0.0
1420,Kothanur,"3,000 - 9,000",6000,16500,16500,"25,000 - 26,000",25500,13.0552,77.6422
1421,Kumaraswamy Layout I Stage,-,-,"9,500 - 12,000",10750,-,-,12.9061,77.5627
1422,Rayasandra,"3,500 - 8,500",5750,"10,000 - 15,000",11666.67,16000,16000,12.8623,77.6752
1423,Nelamangala Town,-,-,"10,000 - 14,000",12150,-,-,13.0982,77.3948
1424,Dooravani Nagar,"8,000 - 14,000",11000,"13,000 - 17,000",15333.33,-,-,13.003,77.6678
1425,R T Nagar,9000,9000,18000,18000,54000,54000,13.0196,77.5968
1426,Whitefield Main Road,"13,000 - 14,000",13333.33,"17,000 - 19,000",18000,"35,000 - 42,000",39500,0.0,0.0
1427,Vasanth Nagar,"8,000 - 24,000",11833.33,"15,000 - 20,000",17250,30000,30000,12.992,77.5943
1428,Yeshwanthpur,"7,500 - 13,000",10250,"16,000 - 30,000",22666.67,"20,000 - 30,000",25000,13.025,77.534
1429,Ulsoor,"9,000 - 15,000",11800,30000,30000,"25,000 - 1.5 L",80000,12.9817,77.6284
1430,Medahalli Kadugodi Road,-,-,22000,22000,-,-,0.0,0.0
1431,Nayandahalli,7000,7000,14000,14000,-,-,12.9446,77.5256
1432,Nagavara,"9,500 - 10,000",9750,12000,12000,30000,30000,13.0422,77.6136
1433,Anagalapura Near Hennur Main Road,-,-,-,-,"45,000 - 90,000",60000,0.0,0.0
1434,hebbal kempapura,"6,000 - 16,500",10833.33,"15,000 - 25,000",19000,35000,35000,13.0529,77.6015
1435,Kattigenahalli,9000,9000,30000,30000,17000,17000,13.1216,77.6207
