,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1325,Ashraya Layout,"12,900 - 13,900",13566.67,"16,500 - 17,000",16760,-,-,12.9845,77.7059
1326,B Channasandra Kasturi Nagar,"8,700 - 10,000",9280,13000,13000,28500,28500,13.0085,77.6608
1327,Balaji Gardens Layout,13000,13000,"11,000 - 25,000",17800,-,-,12.8557,77.5949
1328,Chikkadunnasandra,-,-,"12,000 - 15,000",13500,15000,15000,12.8631,77.7628
1329,Doddabommasandra,"6,000 - 10,000",8000,15000,15000,23000,23000,13.0605,77.562
1330,Hallehalli,-,-,-,-,24000,24000,13.0347,77.7042
1331,HBR Layout 4th Block,-,-,18000,18000,"30,000 - 33,000",31500,13.0308,77.6334
1332,hsr,"10,000 - 16,000",13000,"17,000 - 19,000",18000,35000,35000,12.9121,77.6446
1333,Jayamahal Extension,"8,000 - 9,000",8500,16000,16000,40000,40000,13.002,77.5956
1334,Lingarajapuram,-,-,-,-,30000,30000,13.013,77.6262
1335,Mico Layout,5500,5500,"18,000 - 18,500",18250,-,-,12.9128,77.6043
1336,Mysore road Bangalore,-,-,17000,17000,-,-,12.9716,77.5946
1337,Nyanappana Halli,9500,9500,12500,12500,-,-,12.8799,77.6157
1338,Rachenahalli,12000,12000,-,-,45000,45000,13.0615,77.6164
1339,RS Gardens,-,-,"10,000 - 22,000",16166.67,-,-,12.8202,77.6918
1340,Sadananda Nagar,12000,12000,"22,500 - 28,000",26166.67,"18,500 - 23,000",20750,12.9966,77.658
1341,Sector 1 HSR Layout,18000,18000,28000,28000,-,-,12.8981,77.6448
1342,Vijaya Bank Layout,-,-,20000,20000,30000,30000,12.8902,77.6092
1343,1st block Kalyan Nagar,16000,16000,"24,000 - 29,000",27000,35000,35000,13.0286,77.6393
1344,9th Block Jayanagar,12000,12000,-,-,28000,28000,12.9205,77.592
1345,Armane Nagar,13000,13000,"58,000 - 75,000",66500,55000,55000,13.0145,77.5839
1346,Attur Layout,-,-,14000,14000,-,-,13.107,77.5663
1347,Bidaraguppe,-,-,11500,11500,"12,000 - 13,000",12500,12.8062,77.7844
1348,Bileshivale,-,-,15000,15000,-,-,13.0584,77.6698
1349,Chikkanagamangala,13000,13000,25000,25000,20000,20000,12.8601,77.6959
1350,CV Raman Nagar Kaggadasapura,-,-,19500,19500,-,-,12.9806,77.6792
1351,Gundappa Layout,7500,7500,11000,11000,-,-,12.8546,77.587
1352,Huskur,15000,15000,22000,22000,-,-,12.8581,77.7066
1353,Indiranagar HAL 2nd Stage,20000,20000,"24,000 - 1 L",50333.33,-,-,12.9673,77.6433
1354,Madhura Nagar,7000,7000,"10,000 - 11,000",10500,-,-,12.9398,77.7607
1355,Maithri Layout,18000,18000,-,-,-,-,12.9906,77.7581
1356,Maruthi Layout,"10,000 - 12,750",11375,15000,15000,-,-,12.8909,77.6235
1357,munnekollala,"5,500 - 12,000",8750,-,-,-,-,12.9569,77.7011
1358,Royal County Phase 1,"10,000 - 20,000",15000,"14,000 - 15,000",14500,-,-,12.8605,77.5777
1359,RPC layout,21000,21000,22000,22000,-,-,12.9628,77.5379
1360,Vidyapeeta,-,-,-,-,18500,18500,12.9334,77.5609
1361,Vittasandra,"4,500 - 28,000",19166.67,"8,500 - 11,000",9750,-,-,12.8567,77.6359
1362,Yelachenahalli,-,-,19000,19000,-,-,12.9004,77.5712
1363,Yemalur,13000,13000,"15,000 - 22,000",18500,-,-,12.9446,77.6837
1364,5th Block,-,-,"18,000 - 26,000",22000,"25,000 - 35,000",30000,12.9352,77.62
1365,Amrita Nagar,12000,12000,"12,500 - 18,000",16166.67,21430,21430,12.8928,77.6787
1366,Arekere,-,-,15000,15000,13500,13500,12.8874,77.5969
1367,Belathur,9500,9500,14000,14000,20000,20000,13.0072,77.7524
1368,Bharat Nagar,-,-,14000,14000,-,-,12.9783,77.4778
1369,Bhuvaneswari Nagar,20000,20000,-,-,-,-,13.0545,77.6036
1370,BTS Layout,10000,10000,-,-,-,-,12.8878,77.6064
1371,Dattatreya Nagar,16000,16000,-,-,26000,26000,12.9265,77.5404
1372,Deepanjali Nagar,6500,6500,"24,900 - 25,000",24950,24900,24900,12.9526,77.5293
1373,Doddanagamangala,5000,5000,10000,10000,-,-,12.8558,77.6741
1374,Dwarakanagar,-,-,20200,20200,-,-,12.9017,77.5248
1375,Gulimangala,7500,7500,"11,000 - 12,000",11500,-,-,12.845,77.6966
1376,hebbagodi,13000,13000,-,-,-,-,12.8257,77.678
1377,Hoysala Nagar,-,-,16000,16000,-,-,13.0173,77.6665
1378,Indira Nagar 2nd Stage,11500,11500,25000,25000,-,-,12.9784,77.6408
1379,Ittamadu,11500,11500,-,-,-,-,12.9227,77.5453
1380,Jalahalli East,5500,5500,-,-,-,-,13.0699,77.5449
1381,Jyotipuram,20000,20000,26000,26000,15000,15000,12.8672,77.5404
1382,Kanak nagar,7000,7000,-,-,-,-,13.0342,77.6064
1383,Kengeri Hobli,5000,5000,13000,13000,-,-,12.9018,77.4537
1384,KHBS Layout,15000,15000,"9,000 - 22,000",13750,-,-,12.999,77.5369
1385,Kodipur,-,-,15000,15000,"25,000 - 33,000",29000,12.9091,77.5318
1386,koramangla 1st block,"13,000 - 14,500",13750,35000,35000,1.7 L,175000,12.9265,77.6362
1387,LHR Layout,10000,10000,-,-,-,-,12.852,77.674
1388,Mallasandra,-,-,12000,12000,-,-,13.0607,77.5118
1389,Mangammanapalya,9000,9000,-,-,-,-,12.9027,77.635
1390,Munnireddy Layout,15000,15000,22000,22000,40000,40000,12.9419,77.7016
1391,NR Colony,10000,10000,"12,000 - 14,000",13000,-,-,12.937,77.5684
1392,Postal Colony,70000,70000,19000,19000,-,-,13.036,77.5781
1393,Raghavendra Colony,12500,12500,24900,24900,-,-,12.9551,77.5641
