,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1887,Upkar Layout,-,-,24200,24200,-,-,12.964,77.4838
1888,V V Puram,-,-,-,-,22500,22500,12.9537,77.5777
1889,Vagdevi Layout,12000,12000,-,-,-,-,12.9469,77.7123
1890,Veerannapalya,10000,10000,-,-,-,-,13.0412,77.6124
1891,Venkatadri Layout,-,-,-,-,30500,30500,12.8977,77.5967
1892,Vijayarangam Layout,-,-,31000,31000,-,-,12.9363,77.5766
1893,Vinayaka Nagar,-,-,23000,23000,-,-,12.9633,77.6792
1894,Vivek Nagar,10000,10000,-,-,-,-,12.9545,77.6191
1895,Vivekananda Colony,-,-,20000,20000,-,-,12.9119,77.5722
1896,Wajid Layout,-,-,16900,16900,-,-,13.0606,77.6344
1897,Whitefield Hagadur,16000,16000,-,-,-,-,12.9649,77.7573
1898,Yalappa Garden,-,-,22000,22000,-,-,13.0008,77.5727
1899,Yelahanka 4th Phase Bangalore,-,-,11000,11000,-,-,13.1052,77.5714
