,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude,Venues,Food Services,Shopping Services,Leisure Services,General Services
969,Marathahalli,"5,500 - 15,000",11187.5,"12,000 - 23,000",18666.67,33000,33000,12.9569,77.7011,"['Kerala Restaurant', 'Indian Restaurant', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant', 'Steakhouse', 'BBQ Joint', 'Racetrack', 'Hotel', 'Restaurant', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant', 'Lounge', 'Indian Restaurant', 'Pub', 'Clothing Store', 'Indian Restaurant', 'Movie Theater', 'Racetrack', 'Indian Restaurant', 'Sporting Goods Shop', 'Chinese Restaurant', 'Indian Restaurant', 'Clothing Store', 'Bakery', 'Gastropub', 'Indian Restaurant', 'South Indian Restaurant', 'Dessert Shop', 'Pizza Place', 'Dessert Shop', 'Café', 'Breakfast Spot', 'Hotel', 'BBQ Joint']",26.0,3.0,5.0,0.0
970,Uttarahalli,-,-,12000,12000,"19,000 - 28,000",23666.67,12.907,77.5521,"['Bakery', 'Pizza Place', 'Café', 'Indian Restaurant', 'Department Store', 'Paintball Field', 'Bakery', 'Gym', 'Indian Restaurant', 'Fast Food Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Department Store', 'Café', 'Movie Theater', 'Sandwich Place']",11.0,2.0,3.0,0.0
971,Rajaji Nagar,"9,500 - 14,000",11500,"10,000 - 1.1 L",56717.95,22500,22500,12.9982,77.553,"['Fast Food Restaurant', 'Bakery', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Vegetarian / Vegan Restaurant', 'Café', 'Chinese Restaurant', 'Café', 'Seafood Restaurant', 'Fast Food Restaurant', 'Gym / Fitness Center', 'Juice Bar', 'Juice Bar', 'Juice Bar', 'Electronics Store', 'Restaurant', 'Light Rail Station', 'Pizza Place', 'Chinese Restaurant', 'Snack Place', 'Fast Food Restaurant', 'Grocery Store', 'Burger Joint', 'Electronics Store', 'Indian Restaurant', 'Electronics Store', 'Food & Drink Shop']",23.0,4.0,1.0,1.0
972,Banaswadi,"5,000 - 18,000",13509.09,"15,000 - 28,000",19500,"24,000 - 35,000",30500,13.0104,77.6482,"['Indian Restaurant', 'Bakery', 'Vegetarian / Vegan Restaurant', 'Pharmacy', 'Indian Restaurant', 'Convenience Store', 'Kerala Restaurant', 'Grocery Store', 'Market', 'Indian Restaurant', 'BBQ Joint', 'Seafood Restaurant']",8.0,3.0,0.0,1.0
973,Sarjapur,"10,000 - 13,500",11375,"10,000 - 30,000",15250,"20,000 - 30,000",24000,12.8549,77.7881,['Movie Theater'],0.0,0.0,1.0,0.0
974,Thanisandra,"7,500 - 8,500",8000,"14,000 - 25,500",19125,22000,22000,13.0559,77.6325,"['Pharmacy', 'Restaurant', 'Gas Station', 'Indian Sweet Shop']",2.0,0.0,0.0,2.0
975,Koramangala,"7,500 - 28,000",14181.82,"15,000 - 50,000",25909.09,"25,000 - 4 L",108000,12.9352,77.6244,"['Fast Food Restaurant', 'Breakfast Spot', 'Café', 'Candy Store', 'Bakery', 'Italian Restaurant', 'Yoga Studio', 'Thai Restaurant', 'Breakfast Spot', 'Hot Dog Joint', 'Café', 'Ice Cream Shop', 'Dessert Shop', 'Andhra Restaurant', 'Toy / Game Store', 'Coffee Shop', 'Gym', 'Café', 'Asian Restaurant', 'Clothing Store', 'Pizza Place', 'Chinese Restaurant', 'Italian Restaurant', 'Pub', 'Café', 'Seafood Restaurant', 'Mobile Phone Shop', 'Café', 'Indian Sweet Shop', 'Indian Restaurant', 'Indian Restaurant', 'Cupcake Shop', 'Coffee Shop', 'Café', 'Dessert Shop', 'Gastropub', 'Juice Bar', 'Hotel', 'Pizza Place', 'Bar', 'Indian Restaurant', 'South Indian Restaurant', 'Ice Cream Shop', 'Indian Restaurant', 'Lounge', 'Beer Garden', 'Gym', 'Coffee Shop', 'Vegetarian / Vegan Restaurant', 'Clothing Store', 'Kerala Restaurant', 'Indian Restaurant', 'Pizza Place', 'Gym / Fitness Center', 'Brewery', 'Lounge', 'Juice Bar', 'Liquor Store', 'Italian Restaurant', 'Pub', 'Indian Restaurant', 'Indian Restaurant', 'Bar', 'Café', 'Café', 'Café', 'Ice Cream Shop', 'Tea Room', 'Indian Restaurant', 'Food Court', 'BBQ Joint', 'Chinese Restaurant', 'Italian Restaurant', 'Ice Cream Shop', 'Indian Restaurant', 'Indian Restaurant', 'Brewery', 'Beer Garden', 'Café', 'Indian Restaurant', 'Coffee Shop', 'Italian Restaurant', 'Café', 'Mexican Restaurant', 'Indian Restaurant', 'Café', 'Pub', 'Ice Cream Shop', 'American Restaurant', 'Indian Restaurant', 'Electronics Store', 'Vegetarian / Vegan Restaurant', 'Restaurant', 'Kerala Restaurant', 'Café', 'Department Store', 'Café', 'Pharmacy']",86.0,6.0,5.0,1.0
976,Bommasandra,"8,500 - 9,000",8750,"6,500 - 12,000",8200,"17,000 - 30,000",21909.09,12.8167,77.6974,"['Sporting Goods Shop', 'Electronics Store']",0.0,2.0,0.0,0.0
977,HSR Layout,"7,000 - 30,000",17583.33,"18,500 - 28,000",24450,50000,50000,12.9121,77.6446,"['Snack Place', 'Pizza Place', 'Pub', 'Café', 'Kebab Restaurant', 'Indian Restaurant', 'Ice Cream Shop', 'Burger Joint', 'Café', 'Pizza Place', 'Pizza Place', 'Trail', 'Steakhouse', 'Restaurant', 'Indian Restaurant', 'Punjabi Restaurant', 'Café', 'Snack Place', 'Café', 'Department Store', 'Gym / Fitness Center', 'Ice Cream Shop', 'Indian Restaurant', 'Indian Restaurant', 'Chinese Restaurant', 'Coffee Shop', 'North Indian Restaurant', 'Café', 'Mediterranean Restaurant', 'Pizza Place', 'General Entertainment', 'Liquor Store', 'Department Store', 'South Indian Restaurant', 'Café', 'Gym / Fitness Center', 'Sandwich Place', 'Seafood Restaurant', 'Indian Restaurant', 'Badminton Court', 'Ice Cream Shop', 'Department Store', 'Fast Food Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Café', 'Indian Restaurant', 'Indian Restaurant', 'Lounge', 'Tea Room', 'Street Food Gathering', 'Restaurant', 'Fast Food Restaurant', 'Pizza Place', 'Restaurant', 'Burger Joint', 'American Restaurant', 'Gym', 'Gym', 'Café', 'Snack Place', 'Café', 'Clothing Store', 'Bus Station']",52.0,4.0,7.0,1.0
978,Mahadevapura,"5,000 - 17,000",10500,"9,500 - 22,000",16333.33,28000,28000,12.988,77.6895,"['Department Store', 'Coffee Shop', 'Bus Station', 'Bus Station', 'Burrito Place', 'Café', 'Coffee Shop', 'Shoe Store', 'Brewery']",5.0,2.0,0.0,2.0
